Source,Target,Type,Id,Label,timeset,Weight,0
ADDAM_MARBRAND,KEVAN,Directed,0,,,1,3
ADDAM_MARBRAND,LEO_LEFFORD,Directed,1,,,1,3
ADDAM_MARBRAND,TYWIN,Directed,2,,,1,2
KEVAN,ARYA,Directed,3,,,1,2
KEVAN,BRONN,Directed,4,,,1,2
KEVAN,CERSEI,Directed,5,,,1,18
KEVAN,HIGH_SPARROW,Directed,6,,,1,3
KEVAN,JAIME,Directed,7,,,1,12
KEVAN,LEO_LEFFORD,Directed,8,,,1,2
KEVAN,SHAGGA,Directed,9,,,1,2
KEVAN,TYRION,Directed,10,,,1,14
KEVAN,TYWIN,Directed,11,,,1,2
KEVAN,STANNIS,Directed,12,,,1,2
KEVAN,TOMMEN,Directed,13,,,1,7
KEVAN,LANCEL,Directed,14,,,1,3
KEVAN,PYCELLE,Directed,15,,,1,5
KEVAN,QYBURN,Directed,16,,,1,2
KEVAN,OLENNA,Directed,17,,,1,7
KEVAN,MARGAERY,Directed,18,,,1,4
KEVAN,LORAS,Directed,19,,,1,3
KEVAN,MACE,Directed,20,,,1,3
LEO_LEFFORD,TYRION,Directed,21,,,1,2
TYWIN,AERYS,Directed,22,,,1,2
TYWIN,AMORY,Directed,23,,,1,14
TYWIN,ARYA,Directed,24,,,1,103
TYWIN,BAELOR,Directed,25,,,1,3
TYWIN,BOBONO,Directed,26,,,1,4
TYWIN,BRONN,Directed,27,,,1,2
TYWIN,CATELYN,Directed,28,,,1,2
TYWIN,CERSEI,Directed,29,,,1,3
TYWIN,DAENERYS,Directed,30,,,1,2
TYWIN,EDMURE,Directed,31,,,1,2
TYWIN,ELIA,Directed,32,,,1,4
TYWIN,ELLARIA,Directed,33,,,1,9
TYWIN,FOOL,Directed,34,,,1,2
TYWIN,GENDRY,Directed,35,,,1,2
TYWIN,GREATJON_UMBER,Directed,36,,,1,3
TYWIN,HARREN,Directed,37,,,1,2
TYWIN,HIGH_SEPTON,Directed,38,,,1,2
TYWIN,IZEMBARO,Directed,39,,,1,3
TYWIN,JAIME,Directed,40,,,1,2
TYWIN,JAQEN,Directed,41,,,1,3
TYWIN,JOANNA,Directed,42,,,1,2
TYWIN,JOFFREY,Directed,43,,,1,5
TYWIN,LADY_CRANE,Directed,44,,,1,2
TYWIN,LITTLEFINGER,Directed,45,,,1,2
TYWIN,LOCKE,Directed,46,,,1,4
TYWIN,LORAS,Directed,47,,,1,2
TYWIN,LYSA,Directed,48,,,1,2
TYWIN,MACE,Directed,49,,,1,21
TYWIN,MARGAERY,Directed,50,,,1,6
TYWIN,MERYN_TRANT,Directed,51,,,1,4
TYWIN,MOUNTAIN,Directed,52,,,1,6
TYWIN,NED,Directed,53,,,1,2
TYWIN,OBERYN,Directed,54,,,1,79
TYWIN,OLENNA,Directed,55,,,1,14
TYWIN,ORYS,Directed,56,,,1,2
TYWIN,ORYS_BROTHER,Directed,57,,,1,2
TYWIN,PODRICK,Directed,58,,,1,3
TYWIN,POLLIVER,Directed,59,,,1,2
TYWIN,PYCELLE,Directed,60,,,1,16
TYWIN,QYBURN,Directed,61,,,1,2
TYWIN,REGINALD,Directed,62,,,1,8
TYWIN,RENLY,Directed,63,,,1,2
TYWIN,ROBB,Directed,64,,,1,9
TYWIN,ROBERT,Directed,65,,,1,2
TYWIN,RODRIK,Directed,66,,,1,2
TYWIN,ROOSE_BOLTON,Directed,67,,,1,4
TYWIN,SANSA,Directed,68,,,1,2
TYWIN,SHAE,Directed,69,,,1,3
TYWIN,SHAGGA,Directed,70,,,1,6
TYWIN,STANNIS,Directed,71,,,1,2
TYWIN,STEELSHANKS_WALTON,Directed,72,,,1,2
TYWIN,TOMMEN,Directed,73,,,1,2
TYWIN,TYCHO,Directed,74,,,1,3
TYWIN,TYRION,Directed,75,,,1,5
TYWIN,VARYS,Directed,76,,,1,18
TYWIN,WALDER,Directed,77,,,1,2
ADRACK_HUMBLE,THEON,Directed,78,,,1,4
ADRACK_HUMBLE,RALF,Directed,79,,,1,2
THEON,AERON,Directed,80,,,1,4
THEON,ALYS,Directed,81,,,1,4
THEON,ARYA,Directed,82,,,1,4
THEON,BALON,Directed,83,,,1,4
THEON,BERIC,Directed,84,,,1,3
THEON,BLACK_LORREN,Directed,85,,,1,21
THEON,BRAN,Directed,86,,,1,27
THEON,BRIENNE,Directed,87,,,1,2
THEON,BRONN,Directed,88,,,1,2
THEON,CAPTAINS_DAUGHTER,Directed,89,,,1,17
THEON,CATELYN,Directed,90,,,1,16
THEON,CERSEI,Directed,91,,,1,4
THEON,DAENERYS,Directed,92,,,1,11
THEON,DAGMER,Directed,93,,,1,48
THEON,DAVOS,Directed,94,,,1,3
THEON,DROWNED_PRIEST,Directed,95,,,1,5
THEON,ELLARIA,Directed,96,,,1,8
THEON,EURON,Directed,97,,,1,2
THEON,FARLEN,Directed,98,,,1,3
THEON,FIRST_MATE,Directed,99,,,1,5
THEON,GREATJON_UMBER,Directed,100,,,1,11
THEON,GREY_WORM,Directed,101,,,1,3
THEON,HARRAG,Directed,102,,,1,24
THEON,HODOR,Directed,103,,,1,5
